"","coal_share_energy","gas_share_energy","nuclear_share_energy","hydro_share_energy","renewables_share_energy","oil_share_energy","country","continent"
"94",NA,NA,NA,NA,NA,NA,"Honduras","Americas"
"95",23.855,9.326,0,0,0.08,66.72,"Hong Kong","Asia"
"96",10.705,34.25,15.75,0.233,3.212,35.277,"Hungary","Europe"
"97",1.969,0,0,59.405,81.019,16.775,"Iceland","Europe"
"98",57.521,5.982,1.213,4.219,6.295,28.989,"India","Asia"
"99",30.147,23.191,0,1.762,3.506,43.156,"Indonesia","Asia"
"100",0.639,64.829,0.316,1.181,1.204,33.011,"Iran","Asia"
"101",0,15.658,0,1.381,1.412,82.93,"Iraq","Asia"
"102",14.747,25.303,0,1.18,11.494,47.867,"Ireland","Europe"
"103",26.458,28.397,0,0.022,1.124,43.98,"Israel","Asia"
"104",8.106,36.355,0,6.307,16.244,39.295,"Italy","Europe"
"105",NA,NA,NA,NA,NA,NA,"Ivory Coast",NA
"106",NA,NA,NA,NA,NA,NA,"Jamaica","Americas"
