"","continent","year","energy_type","meanconsmp"
"379","Asia",1981,"coal",215.53824
"380","Asia",1981,"nuclear",11.55768
"381","Asia",1981,"renewable",29.61872
"382","Asia",1982,"coal",223.82576
"383","Asia",1982,"nuclear",13.51684
"384","Asia",1982,"renewable",30.2168
"385","Asia",1983,"coal",238.24724
"386","Asia",1983,"nuclear",16.16772
"387","Asia",1983,"renewable",31.8706
"388","Asia",1984,"coal",260.39544
"389","Asia",1984,"nuclear",19.44624
"390","Asia",1984,"renewable",32.00996
"391","Asia",1985,"coal",259.76075862069
"392","Asia",1985,"nuclear",20.1098965517241
"393","Asia",1985,"renewable",30.5401724137931
"394","Asia",1986,"coal",270.99975862069
"395","Asia",1986,"nuclear",21.6636551724138
"396","Asia",1986,"renewable",30.9865172413793
"397","Asia",1987,"coal",291.767827586207
"398","Asia",1987,"nuclear",25.5434137931035
"399","Asia",1987,"renewable",32.0636206896552
"400","Asia",1988,"coal",312.431620689655
"401","Asia",1988,"nuclear",24.0344827586207
"402","Asia",1988,"renewable",36.3761379310345
"403","Asia",1989,"coal",326.041310344828
"404","Asia",1989,"nuclear",25.45
"405","Asia",1989,"renewable",37.7324482758621
"406","Asia",1990,"coal",332.83475862069
"407","Asia",1990,"nuclear",27.5036896551724
"408","Asia",1990,"renewable",39.1724137931034
"409","Asia",1991,"coal",346.807068965517
"410","Asia",1991,"nuclear",29.374275862069
"411","Asia",1991,"renewable",39.7888965517241
"412","Asia",1992,"coal",360.483724137931
"413","Asia",1992,"nuclear",30.1561724137931
"414","Asia",1992,"renewable",40.1984827586207
"415","Asia",1993,"coal",378.487448275862
"416","Asia",1993,"nuclear",33.417275862069
"417","Asia",1993,"renewable",44.8343793103448
"418","Asia",1994,"coal",397.833827586207
"419","Asia",1994,"nuclear",35.6742413793103
"420","Asia",1994,"renewable",44.5911034482759
"421","Asia",1995,"coal",405.164896551724
"422","Asia",1995,"nuclear",39.299
"423","Asia",1995,"renewable",49.2698620689655
"424","Asia",1996,"coal",423.523344827586
"425","Asia",1996,"nuclear",41.3188275862069
"426","Asia",1996,"renewable",48.9261034482759
"427","Asia",1997,"coal",424.351379310345
"428","Asia",1997,"nuclear",44.0376896551724
"429","Asia",1997,"renewable",49.5631034482759
"430","Asia",1998,"coal",424.136275862069
"431","Asia",1998,"nuclear",45.8276551724138
"432","Asia",1998,"renewable",52.8883448275862
"433","Asia",1999,"coal",435.664
"434","Asia",1999,"nuclear",46.5968965517241
"435","Asia",1999,"renewable",51.4646896551724
"436","Asia",2000,"coal",450.717
"437","Asia",2000,"nuclear",47.8965172413793
"438","Asia",2000,"renewable",53.1964827586207
"439","Asia",2001,"coal",472.330827586207
"440","Asia",2001,"nuclear",48.2101724137931
"441","Asia",2001,"renewable",57.3400689655172
"442","Asia",2002,"coal",509.688
"443","Asia",2002,"nuclear",49.0986551724138
"444","Asia",2002,"renewable",59.1554482758621
"445","Asia",2003,"coal",584.573724137931
"446","Asia",2003,"nuclear",43.4046551724138
"447","Asia",2003,"renewable",60.9853103448276
"448","Asia",2004,"coal",658.616448275862
"449","Asia",2004,"nuclear",49.4925517241379
"450","Asia",2004,"renewable",71.9538275862069
"451","Asia",2005,"coal",749.628862068966
"452","Asia",2005,"nuclear",51.3063103448276
"453","Asia",2005,"renewable",74.8348965517241
"454","Asia",2006,"coal",809.140310344828
"455","Asia",2006,"nuclear",52.3455517241379
"456","Asia",2006,"renewable",82.7224482758621
"457","Asia",2007,"coal",881.250793103448
"458","Asia",2007,"nuclear",49.8976551724138
"459","Asia",2007,"renewable",87.1881034482759
"460","Asia",2008,"coal",904.801
"461","Asia",2008,"nuclear",48.1436896551724
"462","Asia",2008,"renewable",100.420931034483
"463","Asia",2009,"coal",936.386517241379
"464","Asia",2009,"nuclear",50.0631034482759
"465","Asia",2009,"renewable",99.9750689655172
"466","Asia",2010,"coal",982.331551724138
"467","Asia",2010,"nuclear",52.4120689655172
"468","Asia",2010,"renewable",115.983379310345
"469","Asia",2011,"coal",1058.25713793103
"470","Asia",2011,"nuclear",43.183
"471","Asia",2011,"renewable",119.791862068966
"472","Asia",2012,"coal",1084.16734482759
"473","Asia",2012,"nuclear",30.5886551724138
"474","Asia",2012,"renewable",137.434344827586
"475","Asia",2013,"coal",1112.78237931034
"476","Asia",2013,"nuclear",31.0073448275862
"477","Asia",2013,"renewable",153.436689655172
"478","Asia",2014,"coal",1121.45072413793
"479","Asia",2014,"nuclear",32.9253448275862
"480","Asia",2014,"renewable",170.054724137931
"481","Asia",2015,"coal",1112.50086206897
"482","Asia",2015,"nuclear",36.9358620689655
"483","Asia",2015,"renewable",181.772310344828
"484","Asia",2016,"coal",1108.06620689655
"485","Asia",2016,"nuclear",41.1288965517241
"486","Asia",2016,"renewable",196.502896551724
"487","Asia",2017,"coal",1124.12444827586
"488","Asia",2017,"nuclear",43.1287931034483
"489","Asia",2017,"renewable",214.88675862069
"490","Asia",2018,"coal",1152.82848275862
"491","Asia",2018,"nuclear",48.0815862068966
"492","Asia",2018,"renewable",233.464103448276
"493","Asia",2019,"coal",1177.69582758621
"494","Asia",2019,"nuclear",55.821
"495","Asia",2019,"renewable",258.117034482759
"496","Europe",1965,"coal",247.7825
"497","Europe",1965,"nuclear",2.27745833333333
"498","Europe",1965,"renewable",33.9719166666667
"499","Europe",1966,"coal",237.388083333333
"500","Europe",1966,"nuclear",2.98508333333333
"501","Europe",1966,"renewable",36.557375
"502","Europe",1967,"coal",230.257083333333
"503","Europe",1967,"nuclear",3.45766666666667
"504","Europe",1967,"renewable",36.4825416666667
"505","Europe",1968,"coal",233.581708333333
"506","Europe",1968,"nuclear",3.91345833333333
"507","Europe",1968,"renewable",37.676875
"508","Europe",1969,"coal",236.648708333333
"509","Europe",1969,"nuclear",4.75729166666667
"510","Europe",1969,"renewable",36.7400833333333
"511","Europe",1970,"coal",232.253916666667
"512","Europe",1970,"nuclear",5.15779166666667
"513","Europe",1970,"renewable",38.7273333333333
"514","Europe",1971,"coal",221.557541666667
"515","Europe",1971,"nuclear",5.887375
"516","Europe",1971,"renewable",39.0624166666667
"517","Europe",1972,"coal",213.733708333333
"518","Europe",1972,"nuclear",7.81404166666667
"519","Europe",1972,"renewable",40.3369583333333
"520","Europe",1973,"coal",216.96425
"521","Europe",1973,"nuclear",8.608625
"522","Europe",1973,"renewable",41.2583333333333
"523","Europe",1974,"coal",214.570625
"524","Europe",1974,"nuclear",10.113375
"525","Europe",1974,"renewable",44.17
"526","Europe",1975,"coal",208.933583333333
"527","Europe",1975,"nuclear",13.5020416666667
"528","Europe",1975,"renewable",45.002
"529","Europe",1976,"coal",218.7115
"530","Europe",1976,"nuclear",15.75225
"531","Europe",1976,"renewable",40.9902083333333
"532","Europe",1977,"coal",218.066708333333
"533","Europe",1977,"nuclear",18.6854583333333
"534","Europe",1977,"renewable",49.7260416666667
"535","Europe",1978,"coal",221.6605
"536","Europe",1978,"nuclear",21.0121666666667
"537","Europe",1978,"renewable",49.4976666666667
"538","Europe",1979,"coal",231.047625
"539","Europe",1979,"nuclear",23.4285
"540","Europe",1979,"renewable",51.9737083333333
"541","Europe",1980,"coal",235.625791666667
"542","Europe",1980,"nuclear",27.3729166666667
"543","Europe",1980,"renewable",50.0453333333333
"544","Europe",1981,"coal",230.501958333333
"545","Europe",1981,"nuclear",36.9726666666667
"546","Europe",1981,"renewable",50.919
"547","Europe",1982,"coal",231.196833333333
"548","Europe",1982,"nuclear",40.4949166666667
"549","Europe",1982,"renewable",50.365375
"550","Europe",1983,"coal",233.204875
"551","Europe",1983,"nuclear",47.667
"552","Europe",1983,"renewable",52.5141666666667
"553","Europe",1984,"coal",231.505375
"554","Europe",1984,"nuclear",60.6525833333333
"555","Europe",1984,"renewable",52.4842916666667
"556","Europe",1985,"coal",306.392266666667
"557","Europe",1985,"nuclear",73.2209333333333
"558","Europe",1985,"renewable",58.2127333333333
"559","Europe",1986,"coal",305.9103
"560","Europe",1986,"nuclear",77.7816
"561","Europe",1986,"renewable",56.8644333333333
"562","Europe",1987,"coal",308.9341
"563","Europe",1987,"nuclear",82.3274666666667
"564","Europe",1987,"renewable",59.9786333333333
"565","Europe",1988,"coal",302.989566666667
"566","Europe",1988,"nuclear",90.4544
"567","Europe",1988,"renewable",62.4736666666667
"568","Europe",1989,"coal",297.064833333333
"569","Europe",1989,"nuclear",94.3032333333333
"570","Europe",1989,"renewable",56.8491
"571","Europe",1990,"coal",255.535090909091
"572","Europe",1990,"nuclear",85.2472727272727
"573","Europe",1990,"renewable",54.0948787878788
