"","continent","year","energy_type","meanconsmp"
"396","Europe",1997,"low_carbon",155.528272727273
"397","Europe",1998,"fossil",755.653181818182
"398","Europe",1998,"low_carbon",157.169848484848
"399","Europe",1999,"fossil",752.864545454545
"400","Europe",1999,"low_carbon",160.676303030303
"401","Europe",2000,"fossil",757.825636363636
"402","Europe",2000,"low_carbon",165.800181818182
"403","Europe",2001,"fossil",767.658181818182
"404","Europe",2001,"low_carbon",169.644363636364
"405","Europe",2002,"fossil",765.097303030303
"406","Europe",2002,"low_carbon",165.662121212121
"407","Europe",2003,"fossil",782.366333333333
"408","Europe",2003,"low_carbon",164.005121212121
"409","Europe",2004,"fossil",787.263696969697
"410","Europe",2004,"low_carbon",169.994757575758
"411","Europe",2005,"fossil",789.026333333333
"412","Europe",2005,"low_carbon",170.947060606061
"413","Europe",2006,"fossil",801.506606060606
"414","Europe",2006,"low_carbon",171.799606060606
"415","Europe",2007,"fossil",793.842939393939
"416","Europe",2007,"low_carbon",171.607242424242
"417","Europe",2008,"fossil",786.994727272727
"418","Europe",2008,"low_carbon",175.221303030303
"419","Europe",2009,"fossil",730.851606060606
"420","Europe",2009,"low_carbon",173.060909090909
"421","Europe",2010,"fossil",756.171363636364
"422","Europe",2010,"low_carbon",180.873636363636
"423","Europe",2011,"fossil",746.186878787879
"424","Europe",2011,"low_carbon",179.046454545455
"425","Europe",2012,"fossil",736.245212121212
"426","Europe",2012,"low_carbon",185.857333333333
"427","Europe",2013,"fossil",719.370484848485
"428","Europe",2013,"low_carbon",190.550212121212
"429","Europe",2014,"fossil",689.206151515152
"430","Europe",2014,"low_carbon",193.623
"431","Europe",2015,"fossil",683.456333333333
"432","Europe",2015,"low_carbon",194.335515151515
"433","Europe",2016,"fossil",695.024818181818
"434","Europe",2016,"low_carbon",193.962333333333
"435","Europe",2017,"fossil",699.298878787879
"436","Europe",2017,"low_carbon",194.880606060606
"437","Europe",2018,"fossil",703.533424242424
"438","Europe",2018,"low_carbon",200.715090909091
"439","Europe",2019,"fossil",688.906060606061
"440","Europe",2019,"low_carbon",202.58596969697
"441","Oceania",1965,"fossil",217.4715
"442","Oceania",1965,"low_carbon",26.8785
"443","Oceania",1966,"fossil",239.109
"444","Oceania",1966,"low_carbon",27.491
"445","Oceania",1967,"fossil",252.31
"446","Oceania",1967,"low_carbon",28.126
"447","Oceania",1968,"fossil",266.1355
"448","Oceania",1968,"low_carbon",29.5845
"449","Oceania",1969,"fossil",276.378
"450","Oceania",1969,"low_carbon",30.456
"451","Oceania",1970,"fossil",301.962
"452","Oceania",1970,"low_carbon",33.8545
"453","Oceania",1971,"fossil",314.308
"454","Oceania",1971,"low_carbon",38.084
"455","Oceania",1972,"fossil",330.287
"456","Oceania",1972,"low_carbon",39.3815
"457","Oceania",1973,"fossil",353.3785
"458","Oceania",1973,"low_carbon",40.227
"459","Oceania",1974,"fossil",371.7755
"460","Oceania",1974,"low_carbon",43.405
"461","Oceania",1975,"fossil",374.95
"462","Oceania",1975,"low_carbon",46.982
"463","Oceania",1976,"fossil",392.4025
"464","Oceania",1976,"low_carbon",44.2675
"465","Oceania",1977,"fossil",414.304
"466","Oceania",1977,"low_carbon",42.1555
"467","Oceania",1978,"fossil",420.323
"468","Oceania",1978,"low_carbon",45.0305
"469","Oceania",1979,"fossil",433.7455
"470","Oceania",1979,"low_carbon",48.147
"471","Oceania",1980,"fossil",436.4535
"472","Oceania",1980,"low_carbon",48.4285
"473","Oceania",1981,"fossil",439.0115
"474","Oceania",1981,"low_carbon",49.402
"475","Oceania",1982,"fossil",444.2495
"476","Oceania",1982,"low_carbon",46.166
"477","Oceania",1983,"fossil",446.7635
